driverId,week,hours-logged,miles-logged
62,12,59,3700
82,21,65,3700
530,29,62,2900
251,15,53,1000
926,45,73,700
575,50,60,3500
610,41,50,1300
688,41,51,700
36,24,53,3700
855,7,57,3900
467,4,75,2600
302,23,70,3600
141,16,57,2800
285,21,74,3700
847,45,80,1300
802,6,67,1800
871,45,78,2300
944,21,54,200
671,43,75,1100
377,50,78,2800
630,38,56,2100
784,16,70,2800
494,24,74,600
212,28,50,1500
824,51,57,2600
58,26,52,1100
390,49,80,2100
971,8,74,1300
390,12,66,400
625,13,61,2500
168,6,53,2000
924,27,70,1900
880,15,55,0
117,39,54,100
710,20,75,2100
474,52,56,1000
1000,12,78,3200
681,3,80,1500
568,52,61,1600
424,51,64,3100
852,2,62,1200
873,8,60,800
228,15,80,1200
426,43,51,3700
27,23,63,2400
187,21,73,2300
639,22,77,3600
569,22,77,3700
252,36,70,2000
427,20,62,800
998,15,79,2700
650,25,78,1800
739,23,51,2100
140,22,73,0
829,29,54,2300
868,13,75,1200
902,29,66,3200
848,48,66,3400
994,32,68,3900
28,46,75,3000
851,5,67,2800
697,51,75,2200
767,19,69,2700
593,19,53,100
922,51,58,1500
89,2,73,3800
905,15,65,2200
659,3,58,3900
143,27,67,1300
106,3,70,500
619,1,57,3300
207,40,66,200
196,40,73,2400
737,17,50,2500
798,50,72,100
920,17,75,2500
244,5,72,1900
361,26,60,3300
555,35,60,700
17,37,61,1100
524,52,56,2100
522,40,76,3300
52,41,64,3800
70,32,52,1300
141,39,50,3600
555,36,64,1000
924,7,68,1600
58,7,56,100
811,26,67,2900
118,14,51,1000
820,1,61,1000
187,36,73,500
201,8,63,2400
747,27,66,800
519,30,62,1000
400,39,78,2700
756,24,73,600
831,36,50,3300
683,9,52,2000
897,12,75,3600
503,42,71,1000
381,48,74,3300
192,32,59,2200
48,30,72,800
122,49,79,500
890,19,77,300
66,5,73,1500
796,39,70,2700
793,27,53,800
822,37,52,2900
609,40,50,3900
130,5,76,100
218,37,62,3500
73,25,71,3600
818,23,64,2600
473,13,72,600
883,48,56,400
340,43,68,200
419,36,75,2000
952,46,71,3900
277,51,66,2000
992,8,70,300
666,34,60,1100
159,23,64,2800
835,41,69,3500
858,24,50,2100
